taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,eventDate,source,occurrenceRemarks
alien-mammals-checklist:taxon:01af1f92221b8e0fbf2f16d18203dd2b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2012/2024,https://waarnemingen.be/species/86212/observations/?date_after=1900-08-15&date_before=2023-08-15&country_division=&search=&user=&location=&sex=&life_stage=&activity=&method=&validation_status=,
alien-mammals-checklist:taxon:26674daaa2dbc0076155a4c1bc9771a3,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,2004/2018,"D'hondt, B., Engels, P., Verbist, B., Vercammen, J., Huygens, W., Adriaens, T., & Casaer, J. (2023). Monitoring van een Vlaamse populatie van Chinese muntjak (Muntiacus reevesi) in het kader van bestrijding. Lutra (Leiden), 66(2), 105-121.",
alien-mammals-checklist:taxon:275025010e3bea243fa9ce9532ec6d72,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2014/2014,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:27a54674f4afcd6d8dbc893680da5bae,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2014/2017,,
alien-mammals-checklist:taxon:2b08658160feaa6b8796da6b359c133c,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,2018/2018,,subject to eradication program
alien-mammals-checklist:taxon:2bb7e9cfd8ea8344e687a78d21b58715,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2006/2024,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:385364b6232734897633a95d3830a630,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,reproducing,1987/2018,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:49813a076dc711cfc7346904890e425f,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,1976/2018,"Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België.",
alien-mammals-checklist:taxon:49813a076dc711cfc7346904890e425f,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,established,2018/2018,"Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België.",
alien-mammals-checklist:taxon:57d6dec70a1a1b277dd49d9da6b669aa,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2011/2018,unpubl. observation,
alien-mammals-checklist:taxon:5d54247062aa163fc4eb4788d4d23ad9,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,2024/2024,"Scheppers, T., Huysentruyt, F., Neukermans, A., Vercammen, J., Verschaffel, E. & Casaer, J. (2013) Grofwildjacht in Vlaanderen: cijfers en statistieken over de periode 2002 - 2012.Rapporten van het Instituut voor Natuur- en Bosonderzoek 2013 (INBO.R.2013.30). Instituut voor Natuur- en Bosonderzoek, Brussel.",
alien-mammals-checklist:taxon:5e110f7f024e5d2f10cb3fd231765bb1,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,2004/2011,Adriaens et al. Biol Invasions  10.1007/s10530-015-0898-z,eradicated from a parc
alien-mammals-checklist:taxon:779c763537f9e7f6f44b6c841603c9b7,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2017/2024,,
alien-mammals-checklist:taxon:779c763537f9e7f6f44b6c841603c9b7,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,2023/2024,,
alien-mammals-checklist:taxon:77cc867ef34c63c9cfbd93b7ec4c5798,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,2024/2024,Cartuyvels et al. 2022 (	https://doi.org/10.15468/5tb6ze),
alien-mammals-checklist:taxon:7da4576fcbf87e1642f69d1a258f65e0,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,reproducing,2024/2024,Cartuyvels et al. 2022 (	https://doi.org/10.15468/5tb6ze),
alien-mammals-checklist:taxon:8091d371eeca34f1bca95f10c020fd1d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2000/2024,waarnemingen.be,
alien-mammals-checklist:taxon:80cb6f7d60d1ed09ca92b75c7d224860,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,,2013/2016,,
alien-mammals-checklist:taxon:8237b409cab033b4e94b86cc7b488bdd,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2003/2003,https://www.nieuwsblad.be/cnt/nbra07062003_005,
alien-mammals-checklist:taxon:843f33e3e64980d12946fe852b4e0e1e,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2000/2015,"Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België.",
alien-mammals-checklist:taxon:86691b2598f39264e9a3bd47e03a6c3b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2007/2024,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:91806b301f339712be8fbb0475808c4e,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,2023/2024,https://www.vrt.be/vrtnws/nl/2023/11/22/ontsnapt-stokstaartje-mol/,
alien-mammals-checklist:taxon:9ff05227e4481f8f997eab5ab232e364,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,2018/2018,,
