taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks
alien-mammals-checklist:taxon:91806b301f339712be8fbb0475808c4e,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2023/,https://www.vrt.be/vrtnws/nl/2023/11/22/ontsnapt-stokstaartje-mol/,
alien-mammals-checklist:taxon:9ff05227e4481f8f997eab5ab232e364,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,unaided,1982/2024,,
alien-mammals-checklist:taxon:9ff05227e4481f8f997eab5ab232e364,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,pet,1982/2024,,
alien-mammals-checklist:taxon:a98fcf96f26fcc2ffad9b12b41c1a45d,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,established,hunting,1936/2024,http://biodiversite.wallonie.be/fr/ovis-gmelini-musimon-x-ovis-sp.html?IDD=50333814&IDC=324,
alien-mammals-checklist:taxon:ae7eec3cf884d2e57367ee05dcba4684,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2007/,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:b151e5839b2b692e8d1a0dc3cf0ae6ca,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2003/2021,Verbeylen (2003) Nog meer zoogdieren in Vlaanderen in : Verkem et al. Zoogdieren in Vlaanderen. + waarnemingen.be,
alien-mammals-checklist:taxon:b26fdc638376907d27c4ee9fbb486795,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2010/2020,https://waarnemingen.be/species/84751/observations/?date_after=2000-05-29&date_before=2024-05-28&country_division=&search=&user=&location=&sex=&month=&life_stage=&activity=&method=,
alien-mammals-checklist:taxon:d40e2dd76238baec6aed6ea56d9a534b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,unaided,2002/2018,"Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België.",
alien-mammals-checklist:taxon:d40e2dd76238baec6aed6ea56d9a534b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,publicGardenZooAquaria,2002/2018,"Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België.",
alien-mammals-checklist:taxon:d40e2dd76238baec6aed6ea56d9a534b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2002/2018,"Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België.",
